Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
loadingCustomBlocksPack,UI,Loading Screen,x,,The Custom Block Pack contains XML definitions for custom blocks used by multiple POI developers.,,,,,,,,,,,,,
loadingCustomBlocksPack_title,UI,Loading Screen,x,,Custom Block Pack,,,,,,,,
cbpATMEmpty,blocks,Block,,,Empty ATM,,Geldautomat,Cajero automático,DAB,Bancomat,ATM,현금인출기,Bankomat,Caixa eletrônico,Банкомат,ATM,ATM,自動櫃員機,Cajero automático
cbpBackpack01Empty,blocks,Container,,,Empty Weathered Backpack,,Verwitterter Rucksack,Mochila erosionada,Sac à dos usé,Zaino consumato,色褪せたバックパック,오래된 백팩,Zszargany plecak,Mochila Molhada,Потрепанный рюкзак,Yıpranmış Sırt Çantası,风化的背包,褪色的背包,Mochila erosionada
cbpBackpack03Empty,blocks,Container,,,Empty Moldy Backpack,,Muffiger Rucksack,Mochila mohosa,Sac à dos moisi,Zaino ammuffito,カビの生えたバックパック,곰팡이가 핀 백팩,Zapleśniały plecak,Mochila Mofada,Заплесневелый рюкзак,Küflenmiş Sırt Çantası,发霉的背包,發黴的背包,Mochila mohosa
cbpBarrelGasSingle00Empty,blocks,Block,,,Empty Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cbpBarrelGasSingle45Empty,blocks,Block,,,Empty Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cbpBathroomCabinetRedBottom,blocks,Container,,,Bathroom Cabinet,,Unterschrank,Vitrina,Armoire,Mobiletto,キャビネット,캐비닛,Szafa,Gabinete,Шкафчик,Dolap,橱柜,櫥櫃,Vitrina
cbpBathroomCabinetRedTop,blocks,Container,,,Bathroom Cabinet,,Unterschrank,Vitrina,Armoire,Mobiletto,キャビネット,캐비닛,Szafa,Gabinete,Шкафчик,Dolap,橱柜,櫥櫃,Vitrina
cbpBathroomCabinetOldBottom,blocks,Container,,,Bathroom Cabinet,,Unterschrank,Vitrina,Armoire,Mobiletto,キャビネット,캐비닛,Szafa,Gabinete,Шкафчик,Dolap,橱柜,櫥櫃,Vitrina
